DataSet	DataRange	DataStruct	Algorithm	Tweak	tElap	tElapSlower	tInit	tRun	tRunSlower	CheckSum
chembl_22.smi	1174873-1342712	GraphUtil	DepthFirst	VisitArray	410.7	1.0x	343.2	67.5	1.0x	39958043
chembl_22.smi	1174873-1342712	AtomRef	DepthFirst	VisitFlag	680.0	1.7x	576.0	104.0	1.5x	39958043
chembl_22.smi	1174873-1342712	AtomRef	DepthFirst	VisitArray	410.0	1.0x	314.5	95.6	1.4x	39958043
chembl_22.smi	1342712-1510551	AtomContainer	DepthFirst	VisitFlag	1266.2	3.3x	0.0	1266.2	19.7x	45098129
chembl_22.smi	1342712-1510551	AtomContainer	DepthFirst	VisitArray	1414.9	3.7x	0.0	1414.9	22.0x	45098129
chembl_22.smi	1342712-1510551	GraphUtil	DepthFirst	VisitFlag	438.8	1.1x	355.0	83.8	1.3x	45098129
chembl_22.smi	1342712-1510551	GraphUtil+BondMap	DepthFirst	VisitFlag	1034.4	2.7x	947.9	86.5	1.3x	45098129
chembl_22.smi	1342712-1510551	GraphUtil+BondMap	DepthFirst	VisitArray	960.0	2.5x	894.6	65.4	1.0x	45098129
chembl_22.smi	1342712-1510551	GraphUtil	DepthFirst	VisitArray	385.7	1.0x	321.3	64.4	1.0x	45098129
chembl_22.smi	1342712-1510551	AtomRef	DepthFirst	VisitFlag	645.6	1.7x	546.1	99.4	1.5x	45098129
chembl_22.smi	1342712-1510551	AtomRef	DepthFirst	VisitArray	395.0	1.0x	303.9	91.0	1.4x	45098129
chembl_22.smi	1510551-1678390	AtomContainer	DepthFirst	VisitFlag	1067.9	3.0x	0.0	1067.9	17.1x	50004727
chembl_22.smi	1510551-1678390	AtomContainer	DepthFirst	VisitArray	1194.0	3.3x	0.0	1194.0	19.1x	50004727
chembl_22.smi	1510551-1678390	GraphUtil	DepthFirst	VisitFlag	404.4	1.1x	324.2	80.2	1.3x	50004727
chembl_22.smi	1510551-1678390	GraphUtil+BondMap	DepthFirst	VisitFlag	909.4	2.5x	826.7	82.6	1.3x	50004727
chembl_22.smi	1510551-1678390	GraphUtil+BondMap	DepthFirst	VisitArray	840.2	2.3x	777.6	62.5	1.0x	50004727
chembl_22.smi	1510551-1678390	GraphUtil	DepthFirst	VisitArray	361.0	1.0x	290.2	70.8	1.1x	50004727
chembl_22.smi	1510551-1678390	AtomRef	DepthFirst	VisitFlag	610.0	1.7x	515.7	94.3	1.5x	50004727
chembl_22.smi	1510551-1678390	AtomRef	DepthFirst	VisitArray	377.4	1.0x	290.5	86.9	1.4x	50004727
chembl_22.smi	1678390-1678393	AtomContainer	DepthFirst	VisitFlag	0.1	4.6x	0.0	0.1	23.2x	50004900
chembl_22.smi	1678390-1678393	AtomContainer	DepthFirst	VisitArray	0.1	5.2x	0.0	0.1	26.2x	50004900
chembl_22.smi	1678390-1678393	GraphUtil	DepthFirst	VisitFlag	0.0	1.3x	0.0	0.0	1.2x	50004900
chembl_22.smi	1678390-1678393	GraphUtil+BondMap	DepthFirst	VisitFlag	0.0	3.4x	0.0	0.0	1.3x	50004900
chembl_22.smi	1678390-1678393	GraphUtil+BondMap	DepthFirst	VisitArray	0.0	3.2x	0.0	0.0	1.0x	50004900
chembl_22.smi	1678390-1678393	GraphUtil	DepthFirst	VisitArray	0.0	1.2x	0.0	0.0	1.0x	50004900
chembl_22.smi	1678390-1678393	AtomRef	DepthFirst	VisitFlag	0.0	1.6x	0.0	0.0	1.4x	50004900
chembl_22.smi	1678390-1678393	AtomRef	DepthFirst	VisitArray	0.0	1.0x	0.0	0.0	1.3x	50004900
